Unnamed: 0,SystemCodeNumber,Capacity,Occupancy,LastUpdatedDate,LastUpdatedTime,IsSpecialDay,VehicleType,Latitude,Longitude,TrafficConditionNearby,QueueLength,Timestamp
24,BHMBCCMKT01,577,148,05-10-2016,11:04:19,0,cycle,28.5,77.15,average,6,2016-10-05 11:04:19
25,BHMBCCMKT01,577,162,05-10-2016,11:30:18,0,bike,28.5,77.15,average,6,2016-10-05 11:30:18
26,BHMBCCMKT01,577,178,05-10-2016,12:04:14,0,truck,28.5,77.15,high,9,2016-10-05 12:04:14
27,BHMBCCMKT01,577,183,05-10-2016,12:30:16,0,car,28.5,77.15,average,7,2016-10-05 12:30:16
28,BHMBCCMKT01,577,175,05-10-2016,12:57:15,0,truck,28.5,77.15,high,9,2016-10-05 12:57:15
29,BHMBCCMKT01,577,179,05-10-2016,13:30:19,0,car,28.5,77.15,high,8,2016-10-05 13:30:19
30,BHMBCCMKT01,577,174,05-10-2016,13:57:20,0,bike,28.5,77.15,average,6,2016-10-05 13:57:20
31,BHMBCCMKT01,577,158,05-10-2016,14:30:17,0,car,28.5,77.15,average,5,2016-10-05 14:30:17
32,BHMBCCMKT01,577,145,05-10-2016,14:57:19,0,car,28.5,77.15,average,5,2016-10-05 14:57:19
33,BHMBCCMKT01,577,129,05-10-2016,15:30:15,0,car,28.5,77.15,low,2,2016-10-05 15:30:15
34,BHMBCCMKT01,577,121,05-10-2016,16:04:18,0,cycle,28.5,77.15,low,3,2016-10-05 16:04:18
35,BHMBCCMKT01,577,114,05-10-2016,16:30:17,0,car,28.5,77.15,average,2,2016-10-05 16:30:17
36,BHMBCCMKT01,577,58,06-10-2016,07:57:25,0,bike,28.5,77.15,average,2,2016-10-06 07:57:25
37,BHMBCCMKT01,577,63,06-10-2016,08:30:20,0,car,28.5,77.15,low,1,2016-10-06 08:30:20
38,BHMBCCMKT01,577,70,06-10-2016,08:57:22,0,car,28.5,77.15,low,1,2016-10-06 08:57:22
39,BHMBCCMKT01,577,95,06-10-2016,09:30:20,0,car,28.5,77.15,average,3,2016-10-06 09:30:20
40,BHMBCCMKT01,577,135,06-10-2016,10:03:20,0,car,28.5,77.15,low,4,2016-10-06 10:03:20
41,BHMBCCMKT01,577,160,06-10-2016,10:30:20,0,car,28.5,77.15,high,7,2016-10-06 10:30:20
42,BHMBCCMKT01,577,177,06-10-2016,10:57:20,0,car,28.5,77.15,average,5,2016-10-06 10:57:20
43,BHMBCCMKT01,577,191,06-10-2016,11:30:22,0,car,28.5,77.15,average,6,2016-10-06 11:30:22
44,BHMBCCMKT01,577,199,06-10-2016,12:04:24,0,car,28.5,77.15,high,9,2016-10-06 12:04:24
45,BHMBCCMKT01,577,206,06-10-2016,12:30:24,0,truck,28.5,77.15,high,9,2016-10-06 12:30:24
46,BHMBCCMKT01,577,198,06-10-2016,12:57:21,0,car,28.5,77.15,high,9,2016-10-06 12:57:21
47,BHMBCCMKT01,577,208,06-10-2016,13:30:21,0,car,28.5,77.15,high,9,2016-10-06 13:30:21
48,BHMBCCMKT01,577,200,06-10-2016,13:57:22,0,car,28.5,77.15,average,6,2016-10-06 13:57:22
49,BHMBCCMKT01,577,175,06-10-2016,14:30:23,0,car,28.5,77.15,average,4,2016-10-06 14:30:23
50,BHMBCCMKT01,577,158,06-10-2016,15:04:22,0,bike,28.5,77.15,low,3,2016-10-06 15:04:22
51,BHMBCCMKT01,577,153,06-10-2016,15:31:22,0,car,28.5,77.15,average,3,2016-10-06 15:31:22
52,BHMBCCMKT01,577,135,06-10-2016,16:04:23,0,cycle,28.5,77.15,low,2,2016-10-06 16:04:23
53,BHMBCCMKT01,577,129,06-10-2016,16:30:27,0,truck,28.5,77.15,low,2,2016-10-06 16:30:27
54,BHMBCCMKT01,577,58,07-10-2016,08:03:27,0,car,28.5,77.15,low,2,2016-10-07 08:03:27
55,BHMBCCMKT01,577,61,07-10-2016,08:30:27,0,car,28.5,77.15,low,2,2016-10-07 08:30:27
56,BHMBCCMKT01,577,75,07-10-2016,09:04:13,0,car,28.5,77.15,average,3,2016-10-07 09:04:13
57,BHMBCCMKT01,577,103,07-10-2016,09:30:27,0,car,28.5,77.15,low,2,2016-10-07 09:30:27
58,BHMBCCMKT01,577,128,07-10-2016,09:57:27,0,car,28.5,77.15,low,3,2016-10-07 09:57:27
59,BHMBCCMKT01,577,172,07-10-2016,10:30:27,0,car,28.5,77.15,average,5,2016-10-07 10:30:27
60,BHMBCCMKT01,577,188,07-10-2016,10:57:30,0,cycle,28.5,77.15,average,5,2016-10-07 10:57:30
61,BHMBCCMKT01,577,199,07-10-2016,11:30:28,0,car,28.5,77.15,average,6,2016-10-07 11:30:28
62,BHMBCCMKT01,577,210,07-10-2016,12:03:29,0,bike,28.5,77.15,average,6,2016-10-07 12:03:29
63,BHMBCCMKT01,577,206,07-10-2016,12:30:28,0,car,28.5,77.15,high,9,2016-10-07 12:30:28
64,BHMBCCMKT01,577,200,07-10-2016,13:04:28,0,car,28.5,77.15,high,9,2016-10-07 13:04:28
65,BHMBCCMKT01,577,201,07-10-2016,13:30:29,0,car,28.5,77.15,high,9,2016-10-07 13:30:29
66,BHMBCCMKT01,577,193,07-10-2016,14:03:28,0,cycle,28.5,77.15,average,5,2016-10-07 14:03:28
67,BHMBCCMKT01,577,181,07-10-2016,14:30:32,0,cycle,28.5,77.15,average,5,2016-10-07 14:30:32
68,BHMBCCMKT01,577,172,07-10-2016,15:04:30,0,car,28.5,77.15,low,3,2016-10-07 15:04:30
69,BHMBCCMKT01,577,159,07-10-2016,15:30:32,0,cycle,28.5,77.15,low,2,2016-10-07 15:30:32
70,BHMBCCMKT01,577,158,07-10-2016,15:57:31,0,cycle,28.5,77.15,low,3,2016-10-07 15:57:31
71,BHMBCCMKT01,577,132,07-10-2016,16:30:29,0,cycle,28.5,77.15,low,3,2016-10-07 16:30:29
72,BHMBCCMKT01,577,58,08-10-2016,07:57:38,0,truck,28.5,77.15,low,2,2016-10-08 07:57:38
73,BHMBCCMKT01,577,61,08-10-2016,08:30:37,0,car,28.5,77.15,low,3,2016-10-08 08:30:37
74,BHMBCCMKT01,577,75,08-10-2016,08:57:34,0,car,28.5,77.15,low,1,2016-10-08 08:57:34
75,BHMBCCMKT01,577,104,08-10-2016,09:30:37,0,bike,28.5,77.15,average,4,2016-10-08 09:30:37
76,BHMBCCMKT01,577,158,08-10-2016,10:04:34,0,car,28.5,77.15,low,4,2016-10-08 10:04:34
77,BHMBCCMKT01,577,191,08-10-2016,10:30:34,0,car,28.5,77.15,average,5,2016-10-08 10:30:34
78,BHMBCCMKT01,577,223,08-10-2016,10:57:34,0,car,28.5,77.15,average,5,2016-10-08 10:57:34
79,BHMBCCMKT01,577,254,08-10-2016,11:30:38,0,bike,28.5,77.15,average,6,2016-10-08 11:30:38
80,BHMBCCMKT01,577,306,08-10-2016,12:04:34,0,bike,28.5,77.15,high,10,2016-10-08 12:04:34
81,BHMBCCMKT01,577,320,08-10-2016,12:30:36,0,cycle,28.5,77.15,high,11,2016-10-08 12:30:36
82,BHMBCCMKT01,577,348,08-10-2016,13:04:39,0,car,28.5,77.15,high,10,2016-10-08 13:04:39
83,BHMBCCMKT01,577,357,08-10-2016,13:30:36,0,car,28.5,77.15,high,10,2016-10-08 13:30:36
84,BHMBCCMKT01,577,395,08-10-2016,14:03:38,0,bike,28.5,77.15,average,5,2016-10-08 14:03:38
85,BHMBCCMKT01,577,400,08-10-2016,14:30:35,0,cycle,28.5,77.15,average,5,2016-10-08 14:30:35
86,BHMBCCMKT01,577,395,08-10-2016,14:57:41,0,cycle,28.5,77.15,average,6,2016-10-08 14:57:41
87,BHMBCCMKT01,577,406,08-10-2016,15:30:39,0,truck,28.5,77.15,low,3,2016-10-08 15:30:39
88,BHMBCCMKT01,577,381,08-10-2016,16:04:39,0,bike,28.5,77.15,average,3,2016-10-08 16:04:39
89,BHMBCCMKT01,577,365,08-10-2016,16:30:42,0,car,28.5,77.15,low,3,2016-10-08 16:30:42
90,BHMBCCMKT01,577,42,09-10-2016,08:04:40,1,car,28.5,77.15,low,2,2016-10-09 08:04:40
91,BHMBCCMKT01,577,42,09-10-2016,08:30:45,1,car,28.5,77.15,low,3,2016-10-09 08:30:45
92,BHMBCCMKT01,577,43,09-10-2016,09:04:46,1,bike,28.5,77.15,average,3,2016-10-09 09:04:46
93,BHMBCCMKT01,577,43,09-10-2016,09:30:45,1,bike,28.5,77.15,low,3,2016-10-09 09:30:45
94,BHMBCCMKT01,577,50,09-10-2016,09:57:41,1,car,28.5,77.15,low,3,2016-10-09 09:57:41
95,BHMBCCMKT01,577,64,09-10-2016,10:30:43,1,car,28.5,77.15,average,5,2016-10-09 10:30:43
96,BHMBCCMKT01,577,100,09-10-2016,11:04:44,1,car,28.5,77.15,average,8,2016-10-09 11:04:44
97,BHMBCCMKT01,577,126,09-10-2016,11:30:41,1,car,28.5,77.15,average,8,2016-10-09 11:30:41
98,BHMBCCMKT01,577,148,09-10-2016,11:57:46,1,cycle,28.5,77.15,average,8,2016-10-09 11:57:46
99,BHMBCCMKT01,577,170,09-10-2016,12:30:41,1,truck,28.5,77.15,high,13,2016-10-09 12:30:41
100,BHMBCCMKT01,577,189,09-10-2016,13:04:43,1,car,28.5,77.15,high,12,2016-10-09 13:04:43
101,BHMBCCMKT01,577,205,09-10-2016,13:30:42,1,bike,28.5,77.15,average,9,2016-10-09 13:30:42
102,BHMBCCMKT01,577,208,09-10-2016,14:03:42,1,truck,28.5,77.15,average,7,2016-10-09 14:03:42
103,BHMBCCMKT01,577,209,09-10-2016,14:30:42,1,car,28.5,77.15,average,7,2016-10-09 14:30:42
104,BHMBCCMKT01,577,191,09-10-2016,15:04:44,1,car,28.5,77.15,low,4,2016-10-09 15:04:44
105,BHMBCCMKT01,577,180,09-10-2016,15:30:46,1,car,28.5,77.15,low,4,2016-10-09 15:30:46
106,BHMBCCMKT01,577,155,09-10-2016,16:03:43,1,car,28.5,77.15,average,5,2016-10-09 16:03:43
107,BHMBCCMKT01,577,133,09-10-2016,16:30:43,1,car,28.5,77.15,low,3,2016-10-09 16:30:43
108,BHMBCCMKT01,577,54,10-10-2016,08:04:47,0,bike,28.5,77.15,low,2,2016-10-10 08:04:47
109,BHMBCCMKT01,577,56,10-10-2016,08:30:47,0,car,28.5,77.15,low,2,2016-10-10 08:30:47
110,BHMBCCMKT01,577,65,10-10-2016,09:04:47,0,truck,28.5,77.15,low,1,2016-10-10 09:04:47
111,BHMBCCMKT01,577,73,10-10-2016,09:30:49,0,bike,28.5,77.15,low,2,2016-10-10 09:30:49
112,BHMBCCMKT01,577,92,10-10-2016,10:03:48,0,car,28.5,77.15,low,3,2016-10-10 10:03:48
113,BHMBCCMKT01,577,113,10-10-2016,10:30:48,0,car,28.5,77.15,average,5,2016-10-10 10:30:48
114,BHMBCCMKT01,577,144,10-10-2016,10:57:52,0,car,28.5,77.15,average,4,2016-10-10 10:57:52
115,BHMBCCMKT01,577,149,10-10-2016,11:30:48,0,car,28.5,77.15,average,6,2016-10-10 11:30:48
116,BHMBCCMKT01,577,159,10-10-2016,11:57:49,0,truck,28.5,77.15,high,8,2016-10-10 11:57:49
117,BHMBCCMKT01,577,171,10-10-2016,12:30:48,0,bike,28.5,77.15,high,9,2016-10-10 12:30:48
118,BHMBCCMKT01,577,176,10-10-2016,13:04:49,0,bike,28.5,77.15,high,9,2016-10-10 13:04:49
119,BHMBCCMKT01,577,172,10-10-2016,13:30:49,0,bike,28.5,77.15,high,9,2016-10-10 13:30:49
120,BHMBCCMKT01,577,161,10-10-2016,14:03:49,0,car,28.5,77.15,average,5,2016-10-10 14:03:49
121,BHMBCCMKT01,577,154,10-10-2016,14:30:49,0,car,28.5,77.15,average,4,2016-10-10 14:30:49
122,BHMBCCMKT01,577,137,10-10-2016,14:57:54,0,bike,28.5,77.15,average,5,2016-10-10 14:57:54
123,BHMBCCMKT01,577,129,10-10-2016,15:30:49,0,car,28.5,77.15,low,2,2016-10-10 15:30:49
124,BHMBCCMKT01,577,130,10-10-2016,15:57:55,0,car,28.5,77.15,low,3,2016-10-10 15:57:55
125,BHMBCCMKT01,577,114,10-10-2016,16:30:49,0,car,28.5,77.15,low,3,2016-10-10 16:30:49
126,BHMBCCMKT01,577,56,11-10-2016,08:04:57,0,truck,28.5,77.15,average,2,2016-10-11 08:04:57
127,BHMBCCMKT01,577,64,11-10-2016,08:30:54,0,bike,28.5,77.15,low,2,2016-10-11 08:30:54
128,BHMBCCMKT01,577,74,11-10-2016,08:57:56,0,car,28.5,77.15,low,2,2016-10-11 08:57:56
129,BHMBCCMKT01,577,93,11-10-2016,09:30:55,0,car,28.5,77.15,low,2,2016-10-11 09:30:55
130,BHMBCCMKT01,577,129,11-10-2016,09:57:59,0,car,28.5,77.15,low,2,2016-10-11 09:57:59
131,BHMBCCMKT01,577,167,11-10-2016,10:30:54,0,car,28.5,77.15,average,5,2016-10-11 10:30:54
132,BHMBCCMKT01,577,200,11-10-2016,10:57:55,0,car,28.5,77.15,average,4,2016-10-11 10:57:55
133,BHMBCCMKT01,577,219,11-10-2016,11:30:59,0,car,28.5,77.15,average,7,2016-10-11 11:30:59
134,BHMBCCMKT01,577,225,11-10-2016,12:03:55,0,bike,28.5,77.15,high,9,2016-10-11 12:03:55
135,BHMBCCMKT01,577,221,11-10-2016,12:30:56,0,car,28.5,77.15,high,11,2016-10-11 12:30:56
136,BHMBCCMKT01,577,217,11-10-2016,13:04:00,0,truck,28.5,77.15,high,9,2016-10-11 13:04:00
137,BHMBCCMKT01,577,217,11-10-2016,13:31:01,0,truck,28.5,77.15,high,9,2016-10-11 13:31:01
138,BHMBCCMKT01,577,208,11-10-2016,14:04:00,0,cycle,28.5,77.15,average,5,2016-10-11 14:04:00
139,BHMBCCMKT01,577,191,11-10-2016,14:30:56,0,bike,28.5,77.15,average,4,2016-10-11 14:30:56
140,BHMBCCMKT01,577,167,11-10-2016,15:03:58,0,bike,28.5,77.15,low,3,2016-10-11 15:03:58
141,BHMBCCMKT01,577,159,11-10-2016,15:33:56,0,car,28.5,77.15,low,3,2016-10-11 15:33:56
142,BHMBCCMKT01,577,150,11-10-2016,16:01:00,0,car,28.5,77.15,low,2,2016-10-11 16:01:00
143,BHMBCCMKT01,577,127,11-10-2016,16:26:56,0,bike,28.5,77.15,low,2,2016-10-11 16:26:56
144,BHMBCCMKT01,577,51,12-10-2016,08:04:00,0,car,28.5,77.15,low,2,2016-10-12 08:04:00
145,BHMBCCMKT01,577,57,12-10-2016,08:31:01,0,car,28.5,77.15,low,2,2016-10-12 08:31:01
146,BHMBCCMKT01,577,64,12-10-2016,09:03:59,0,car,28.5,77.15,low,2,2016-10-12 09:03:59
147,BHMBCCMKT01,577,73,12-10-2016,09:26:58,0,car,28.5,77.15,low,2,2016-10-12 09:26:58
148,BHMBCCMKT01,577,99,12-10-2016,10:01:04,0,car,28.5,77.15,low,4,2016-10-12 10:01:04
149,BHMBCCMKT01,577,112,12-10-2016,10:31:04,0,car,28.5,77.15,average,4,2016-10-12 10:31:04
150,BHMBCCMKT01,577,127,12-10-2016,11:04:01,0,bike,28.5,77.15,average,6,2016-10-12 11:04:01
151,BHMBCCMKT01,577,128,12-10-2016,11:31:05,0,car,28.5,77.15,high,8,2016-10-12 11:31:05
152,BHMBCCMKT01,577,143,12-10-2016,12:04:04,0,car,28.5,77.15,average,6,2016-10-12 12:04:04
153,BHMBCCMKT01,577,158,12-10-2016,12:31:05,0,car,28.5,77.15,high,9,2016-10-12 12:31:05
154,BHMBCCMKT01,577,157,12-10-2016,13:04:04,0,car,28.5,77.15,high,9,2016-10-12 13:04:04
155,BHMBCCMKT01,577,164,12-10-2016,13:34:03,0,car,28.5,77.15,high,8,2016-10-12 13:34:03
156,BHMBCCMKT01,577,167,12-10-2016,14:03:59,0,bike,28.5,77.15,high,7,2016-10-12 14:03:59
157,BHMBCCMKT01,577,159,12-10-2016,14:34:04,0,car,28.5,77.15,high,7,2016-10-12 14:34:04
158,BHMBCCMKT01,577,140,12-10-2016,15:01:03,0,cycle,28.5,77.15,low,2,2016-10-12 15:01:03
159,BHMBCCMKT01,577,128,12-10-2016,15:30:59,0,bike,28.5,77.15,low,3,2016-10-12 15:30:59
160,BHMBCCMKT01,577,121,12-10-2016,15:57:05,0,car,28.5,77.15,low,2,2016-10-12 15:57:05
161,BHMBCCMKT01,577,111,12-10-2016,16:31:05,0,truck,28.5,77.15,low,2,2016-10-12 16:31:05
162,BHMBCCMKT01,577,58,13-10-2016,07:57:02,0,cycle,28.5,77.15,low,2,2016-10-13 07:57:02
163,BHMBCCMKT01,577,65,13-10-2016,08:31:06,0,car,28.5,77.15,average,2,2016-10-13 08:31:06
164,BHMBCCMKT01,577,76,13-10-2016,09:04:02,0,car,28.5,77.15,low,3,2016-10-13 09:04:02
165,BHMBCCMKT01,577,97,13-10-2016,09:31:01,0,bike,28.5,77.15,low,3,2016-10-13 09:31:01
166,BHMBCCMKT01,577,127,13-10-2016,09:57:08,0,car,28.5,77.15,average,4,2016-10-13 09:57:08
167,BHMBCCMKT01,577,166,13-10-2016,10:31:03,0,car,28.5,77.15,average,6,2016-10-13 10:31:03
168,BHMBCCMKT01,577,200,13-10-2016,11:04:08,0,car,28.5,77.15,average,6,2016-10-13 11:04:08
169,BHMBCCMKT01,577,220,13-10-2016,11:31:06,0,bike,28.5,77.15,average,6,2016-10-13 11:31:06
170,BHMBCCMKT01,577,230,13-10-2016,11:57:06,0,car,28.5,77.15,average,6,2016-10-13 11:57:06
171,BHMBCCMKT01,577,231,13-10-2016,12:31:08,0,car,28.5,77.15,high,10,2016-10-13 12:31:08
172,BHMBCCMKT01,577,214,13-10-2016,13:04:04,0,car,28.5,77.15,high,9,2016-10-13 13:04:04
173,BHMBCCMKT01,577,203,13-10-2016,13:31:08,0,cycle,28.5,77.15,high,9,2016-10-13 13:31:08
174,BHMBCCMKT01,577,205,13-10-2016,13:57:07,0,car,28.5,77.15,average,6,2016-10-13 13:57:07
175,BHMBCCMKT01,577,181,13-10-2016,14:31:06,0,cycle,28.5,77.15,average,5,2016-10-13 14:31:06
176,BHMBCCMKT01,577,162,13-10-2016,15:04:08,0,car,28.5,77.15,low,3,2016-10-13 15:04:08
177,BHMBCCMKT01,577,144,13-10-2016,15:31:08,0,bike,28.5,77.15,low,3,2016-10-13 15:31:08
178,BHMBCCMKT01,577,132,13-10-2016,16:04:08,0,truck,28.5,77.15,low,2,2016-10-13 16:04:08
179,BHMBCCMKT01,577,130,13-10-2016,16:31:08,0,car,28.5,77.15,low,3,2016-10-13 16:31:08
180,BHMBCCMKT01,577,53,14-10-2016,08:01:05,0,car,28.5,77.15,low,2,2016-10-14 08:01:05
181,BHMBCCMKT01,577,57,14-10-2016,08:27:10,0,bike,28.5,77.15,low,1,2016-10-14 08:27:10
182,BHMBCCMKT01,577,67,14-10-2016,09:01:08,0,car,28.5,77.15,low,2,2016-10-14 09:01:08
183,BHMBCCMKT01,577,100,14-10-2016,09:27:10,0,car,28.5,77.15,low,3,2016-10-14 09:27:10
184,BHMBCCMKT01,577,134,14-10-2016,10:01:11,0,truck,28.5,77.15,low,3,2016-10-14 10:01:11
185,BHMBCCMKT01,577,157,14-10-2016,10:27:09,0,car,28.5,77.15,average,5,2016-10-14 10:27:09
186,BHMBCCMKT01,577,205,14-10-2016,11:01:07,0,car,28.5,77.15,average,6,2016-10-14 11:01:07
187,BHMBCCMKT01,577,220,14-10-2016,11:27:06,0,car,28.5,77.15,average,6,2016-10-14 11:27:06
188,BHMBCCMKT01,577,224,14-10-2016,12:01:11,0,car,28.5,77.15,high,10,2016-10-14 12:01:11
189,BHMBCCMKT01,577,213,14-10-2016,12:27:06,0,car,28.5,77.15,high,9,2016-10-14 12:27:06
190,BHMBCCMKT01,577,205,14-10-2016,13:01:11,0,car,28.5,77.15,high,9,2016-10-14 13:01:11
191,BHMBCCMKT01,577,201,14-10-2016,13:27:07,0,car,28.5,77.15,high,9,2016-10-14 13:27:07
192,BHMBCCMKT01,577,182,14-10-2016,14:01:11,0,car,28.5,77.15,average,5,2016-10-14 14:01:11
193,BHMBCCMKT01,577,174,14-10-2016,14:34:08,0,cycle,28.5,77.15,average,4,2016-10-14 14:34:08
194,BHMBCCMKT01,577,171,14-10-2016,15:01:12,0,car,28.5,77.15,low,3,2016-10-14 15:01:12
195,BHMBCCMKT01,577,161,14-10-2016,15:27:08,0,car,28.5,77.15,low,3,2016-10-14 15:27:08
196,BHMBCCMKT01,577,138,14-10-2016,16:01:11,0,car,28.5,77.15,low,2,2016-10-14 16:01:11
197,BHMBCCMKT01,577,134,14-10-2016,16:34:08,0,cycle,28.5,77.15,average,3,2016-10-14 16:34:08
198,BHMBCCMKT01,577,53,15-10-2016,08:01:11,0,car,28.5,77.15,low,2,2016-10-15 08:01:11
199,BHMBCCMKT01,577,63,15-10-2016,08:34:10,0,car,28.5,77.15,low,1,2016-10-15 08:34:10
200,BHMBCCMKT01,577,77,15-10-2016,09:01:09,0,car,28.5,77.15,low,3,2016-10-15 09:01:09
201,BHMBCCMKT01,577,101,15-10-2016,09:27:11,0,cycle,28.5,77.15,low,3,2016-10-15 09:27:11
202,BHMBCCMKT01,577,154,15-10-2016,10:01:12,0,car,28.5,77.15,low,4,2016-10-15 10:01:12
203,BHMBCCMKT01,577,171,15-10-2016,10:27:15,0,car,28.5,77.15,low,4,2016-10-15 10:27:15
204,BHMBCCMKT01,577,211,15-10-2016,11:01:14,0,car,28.5,77.15,average,6,2016-10-15 11:01:14
205,BHMBCCMKT01,577,239,15-10-2016,11:27:14,0,car,28.5,77.15,average,6,2016-10-15 11:27:14
206,BHMBCCMKT01,577,276,15-10-2016,12:01:12,0,car,28.5,77.15,high,10,2016-10-15 12:01:12
207,BHMBCCMKT01,577,297,15-10-2016,12:27:10,0,car,28.5,77.15,high,11,2016-10-15 12:27:10
208,BHMBCCMKT01,577,332,15-10-2016,13:01:14,0,bike,28.5,77.15,high,10,2016-10-15 13:01:14
209,BHMBCCMKT01,577,352,15-10-2016,13:34:13,0,car,28.5,77.15,high,11,2016-10-15 13:34:13
210,BHMBCCMKT01,577,391,15-10-2016,14:01:13,0,car,28.5,77.15,average,6,2016-10-15 14:01:13
211,BHMBCCMKT01,577,409,15-10-2016,14:27:12,0,cycle,28.5,77.15,average,6,2016-10-15 14:27:12
212,BHMBCCMKT01,577,442,15-10-2016,15:01:13,0,cycle,28.5,77.15,low,4,2016-10-15 15:01:13
213,BHMBCCMKT01,577,428,15-10-2016,15:27:12,0,car,28.5,77.15,low,4,2016-10-15 15:27:12
214,BHMBCCMKT01,577,412,15-10-2016,16:01:15,0,car,28.5,77.15,low,3,2016-10-15 16:01:15
215,BHMBCCMKT01,577,393,15-10-2016,16:27:16,0,car,28.5,77.15,low,3,2016-10-15 16:27:16
216,BHMBCCMKT01,577,48,16-10-2016,08:04:13,1,car,28.5,77.15,low,2,2016-10-16 08:04:13
217,BHMBCCMKT01,577,48,16-10-2016,08:27:13,1,car,28.5,77.15,low,2,2016-10-16 08:27:13
218,BHMBCCMKT01,577,55,16-10-2016,09:01:15,1,car,28.5,77.15,low,3,2016-10-16 09:01:15
219,BHMBCCMKT01,577,57,16-10-2016,09:27:13,1,bike,28.5,77.15,average,4,2016-10-16 09:27:13
220,BHMBCCMKT01,577,57,16-10-2016,10:04:13,1,car,28.5,77.15,low,5,2016-10-16 10:04:13
221,BHMBCCMKT01,577,56,16-10-2016,10:34:13,1,car,28.5,77.15,average,4,2016-10-16 10:34:13
222,BHMBCCMKT01,577,56,16-10-2016,11:01:13,1,cycle,28.5,77.15,average,7,2016-10-16 11:01:13
223,BHMBCCMKT01,577,56,16-10-2016,11:27:17,1,bike,28.5,77.15,average,6,2016-10-16 11:27:17
224,BHMBCCMKT01,577,65,16-10-2016,12:01:16,1,car,28.5,77.15,high,11,2016-10-16 12:01:16
225,BHMBCCMKT01,577,105,16-10-2016,12:27:14,1,car,28.5,77.15,high,12,2016-10-16 12:27:14
226,BHMBCCMKT01,577,131,16-10-2016,13:01:16,1,truck,28.5,77.15,high,11,2016-10-16 13:01:16
227,BHMBCCMKT01,577,146,16-10-2016,13:27:17,1,truck,28.5,77.15,high,11,2016-10-16 13:27:17
228,BHMBCCMKT01,577,170,16-10-2016,14:01:18,1,car,28.5,77.15,average,6,2016-10-16 14:01:18
229,BHMBCCMKT01,577,180,16-10-2016,14:27:13,1,car,28.5,77.15,average,7,2016-10-16 14:27:13
230,BHMBCCMKT01,577,192,16-10-2016,15:01:18,1,car,28.5,77.15,low,4,2016-10-16 15:01:18
231,BHMBCCMKT01,577,185,16-10-2016,15:31:18,1,car,28.5,77.15,low,4,2016-10-16 15:31:18
